coord_id,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,coord,nn_separation,flux_peak_condon,flux_peak_selavy,flux_peak_err_condon,flux_peak_err_selavy,island_id_reference,component_id_reference,component_name_reference,ra_hms_cont_reference,dec_dms_cont_reference,ra_deg_cont_reference,dec_deg_cont_reference,ra_err_reference,dec_err_reference,freq_reference,flux_peak_reference,flux_peak_err_reference,flux_int_reference,flux_int_err_reference,maj_axis_reference,min_axis_reference,pos_ang_reference,maj_axis_err_reference,min_axis_err_reference,pos_ang_err_reference,maj_axis_deconv_reference,min_axis_deconv_reference,pos_ang_deconv_reference,maj_axis_deconv_err_reference,min_axis_deconv_err_reference,pos_ang_deconv_err_reference,chi_squared_fit_reference,rms_fit_gauss_reference,spectral_index_reference,spectral_curvature_reference,spectral_index_err_reference,spectral_curvature_err_reference,rms_image_reference,has_siblings_reference,fit_is_estimate_reference,spectral_index_from_TT_reference,flag_c4_reference,comment_reference,coord_reference,nn_separation_reference,flux_peak_condon_reference,flux_peak_selavy_reference,flux_peak_err_condon_reference,flux_peak_err_selavy_reference,separation,dra,ddec,flux_peak_ratio
1652,SB30904_island_1872,SB30904_component_1872a,J002029+004033,00:20:29.5,+00:40:33,5.122817,0.675949,0.29,0.25,887.5,5.212,0.258,5.474,0.445,14.85,11.95,83.44,0.68,0.59,0.16,4.94,0.00,82.25,4.46,0.00,1.14,10.418,427.513,-99.00,-99.00,0.00,0.00,0.264,0.0,0.0,1.0,0.0,,"5.122817,0.675949",0.098185,5.212,5.225,0.258,0.249,RACS_0012+00A_island_1216,RACS_0012+00A_component_1216a,J002029+004033,00:20:29.7,+00:40:33,5.123550,0.676032,0.19,0.09,887.5,8.117,1.373,14.777,0.434,39.27,17.56,94.32,0.75,0.55,0.87,31.03,6.21,-88.82,0.05,3.38,1.18,3.260,203.141,0.59,-99.00,0.00,0.00,1.487,0.0,0.0,1.0,0.0,,"5.12355,0.676032",0.151072,8.117,8.381,1.373,0.081,0.000738,-0.000733,-0.000083,0.642
1654,SB30904_island_1875,SB30904_component_1875a,J000201+025325,00:02:01.1,+02:53:25,0.504474,2.890523,0.43,0.39,887.5,5.348,0.349,4.883,0.678,13.40,11.49,67.20,1.04,0.90,0.36,0.00,0.00,28.79,0.00,0.00,34.01,1.184,167.930,-99.00,-99.00,0.00,0.00,0.371,0.0,0.0,1.0,0.0,,"0.504474,2.890523",0.026714,5.348,5.374,0.349,0.417,RACS_0012+00A_island_1663,RACS_0012+00A_component_1663a,J000201+025326,00:02:01.0,+02:53:26,0.504327,2.890567,0.04,0.03,887.5,5.491,0.851,6.149,0.075,26.23,16.33,100.00,0.17,0.17,0.46,10.11,1.72,89.03,0.83,33.08,2.13,0.327,73.259,-1.55,-99.00,0.00,0.00,0.830,0.0,0.0,1.0,0.0,,"0.504327,2.890567",0.026601,5.491,5.614,0.851,0.020,0.000153,0.000147,-0.000044,0.974
1655,SB30904_island_1876,SB30904_component_1876a,J000816-012645,00:08:16.1,-01:26:45,2.067244,-1.446064,0.12,0.13,887.5,4.958,0.248,11.208,0.260,29.40,12.99,92.14,0.28,0.32,0.02,25.88,4.61,-87.25,0.01,1.25,0.03,98.811,882.066,-99.00,-99.00,0.00,0.00,0.255,0.0,0.0,1.0,0.0,,"2.067244,-1.446064",0.065090,4.958,4.971,0.248,0.076,RACS_0012+00A_island_1378,RACS_0012+00A_component_1378a,J000816-012645,00:08:16.2,-01:26:45,2.067362,-1.445852,0.05,0.03,887.5,7.536,0.546,10.411,0.086,34.12,15.75,95.78,0.15,0.12,0.21,24.13,0.00,-88.29,0.02,0.00,0.32,6.948,215.946,-1.47,-99.00,0.00,0.00,0.559,0.0,0.0,1.0,0.0,,"2.067362,-1.445852",0.064548,7.536,7.577,0.546,0.028,0.000243,-0.000118,-0.000212,0.658
1658,SB30904_island_1880,SB30904_component_1880a,J000904+031654,00:09:04.1,+03:16:54,2.266880,3.281772,0.43,0.37,887.5,5.262,0.348,4.945,0.662,13.80,11.48,92.37,1.02,0.88,0.29,0.00,0.00,-61.98,0.00,0.00,43.00,2.691,241.846,-99.00,-99.00,0.00,0.00,0.368,0.0,0.0,1.0,0.0,,"2.26688,3.281772",0.086613,5.262,5.288,0.348,0.399,RACS_0012+00A_island_1586,RACS_0012+00A_component_1586a,J000904+031654,00:09:04.1,+03:16:54,2.266894,3.281669,0.05,0.04,887.5,5.968,1.069,5.963,0.116,23.11,16.44,100.99,0.23,0.26,1.05,3.59,0.00,21.58,9.55,0.00,4.13,0.306,80.624,2.02,-99.00,0.00,0.00,1.030,0.0,0.0,1.0,0.0,,"2.266894,3.281669",0.106255,5.968,6.141,1.069,0.030,0.000104,-0.000014,0.000103,0.882
1659,SB30904_island_1882,SB30904_component_1882a,J001222+000111,00:12:22.0,+00:01:11,3.091698,0.019733,0.23,0.23,887.5,5.075,0.268,6.661,0.382,16.67,13.31,128.54,0.57,0.50,0.12,10.58,0.76,-38.23,0.02,45.88,2.68,37.821,687.578,-99.00,-99.00,0.00,0.00,0.261,0.0,0.0,1.0,0.0,,"3.091698,0.019733",0.047763,5.075,5.088,0.268,0.184,RACS_0012+00A_island_1621,RACS_0012+00A_component_1621a,J001222+000111,00:12:22.3,+00:01:11,3.092803,0.019766,0.31,0.22,887.5,5.400,0.651,9.977,0.516,32.93,21.64,103.30,1.09,1.19,2.74,22.22,14.45,-76.61,0.52,1.75,5.92,85.739,785.382,-1.48,-99.00,0.00,0.00,0.656,0.0,0.0,1.0,0.0,,"3.092803,0.019766",0.048749,5.400,5.479,0.651,0.113,0.001105,-0.001105,-0.000033,0.940
1660,SB30904_island_1885,SB30904_component_1885a,J000318+004843,00:03:18.2,+00:48:43,0.825831,0.812216,0.28,0.25,887.5,5.277,0.264,5.682,0.444,14.57,12.49,114.84,0.67,0.58,0.21,6.33,0.00,-38.57,0.36,0.00,10.24,9.187,384.935,-99.00,-99.00,0.00,0.00,0.267,0.0,0.0,1.0,0.0,,"0.825831,0.812216",0.091731,5.277,5.290,0.264,0.244,RACS_0012+00A_island_1717,RACS_0012+00A_component_1717a,J000318+004845,00:03:18.3,+00:48:45,0.826052,0.812742,0.08,0.05,887.5,5.198,0.566,6.600,0.103,29.86,16.45,101.22,0.24,0.23,0.52,17.38,3.23,-81.06,0.15,6.41,1.11,4.952,219.273,-1.01,-99.00,0.00,0.00,0.560,0.0,0.0,1.0,0.0,,"0.826052,0.812742",0.106131,5.198,5.258,0.566,0.032,0.000571,-0.000221,-0.000526,1.015
1661,SB30904_island_1886,SB30904_component_1886a,J001011-001431,00:10:11.2,-00:14:31,2.546674,-0.241977,0.26,0.24,887.5,4.878,0.323,7.300,0.433,20.55,12.29,92.52,0.62,0.58,0.06,15.08,1.80,-85.64,0.07,16.01,0.25,115.062,1199.280,-99.00,-99.00,0.00,0.00,0.321,0.0,0.0,1.0,0.0,,"2.546674,-0.241977",0.073390,4.878,4.899,0.323,0.185,RACS_0012+00A_island_1681,RACS_0012+00A_component_1681a,J001011-001430,00:10:11.2,-00:14:30,2.546734,-0.241681,0.30,0.11,887.5,5.152,0.618,6.227,0.318,34.67,13.42,94.27,0.95,0.60,1.02,24.96,0.00,-89.83,0.12,0.00,1.49,20.443,496.282,-0.77,-99.00,0.00,0.00,0.666,0.0,0.0,1.0,0.0,,"2.546734,-0.241681",0.074043,5.152,5.237,0.618,0.093,0.000302,-0.000060,-0.000296,0.947
1662,SB30904_island_1887,SB30904_component_1887a,J001345-024744,00:13:45.9,-02:47:44,3.441316,-2.795620,0.38,0.33,887.5,5.095,0.316,5.097,0.570,14.24,11.85,78.54,0.90,0.78,0.25,2.95,0.00,60.88,25.77,0.00,31.53,3.801,272.993,-99.00,-99.00,0.00,0.00,0.328,0.0,0.0,1.0,0.0,,"3.441316,-2.79562",0.074744,5.095,5.116,0.316,0.330,RACS_0012+00A_island_1673,RACS_0012+00A_component_1673a,J001345-024744,00:13:45.8,-02:47:44,3.440854,-2.795559,0.09,0.06,887.5,5.431,0.492,6.862,0.123,27.87,17.60,104.43,0.27,0.28,0.75,13.66,7.08,-72.61,0.58,2.58,2.59,14.355,338.880,0.07,-99.00,0.00,0.00,0.474,0.0,0.0,1.0,0.0,,"3.440854,-2.795559",0.099784,5.431,5.472,0.492,0.040,0.000465,0.000461,-0.000061,0.938
1663,SB30904_island_1888,SB30904_component_1888a,J002325+014845,00:23:25.8,+01:48:45,5.857372,1.812576,0.23,0.21,887.5,4.940,0.302,7.709,0.379,19.06,13.82,96.92,0.55,0.50,0.08,13.07,6.42,-78.31,0.12,1.28,0.93,61.568,836.442,-99.00,-99.00,0.00,0.00,0.290,0.0,0.0,1.0,0.0,,"5.857372,1.812576",0.021054,4.940,4.957,0.302,0.160,RACS_0012+00A_island_1410,RACS_0012+00A_component_1410a,J002325+014844,00:23:25.8,+01:48:44,5.857639,1.812334,0.06,0.04,887.5,7.113,0.715,7.974,0.112,27.59,15.74,94.03,0.19,0.19,0.47,13.87,0.00,80.19,0.21,0.00,1.19,3.785,198.549,-2.26,-99.00,0.00,0.00,0.698,0.0,0.0,1.0,0.0,,"5.857639,1.812334",0.020073,7.113,7.181,0.715,0.038,0.000360,-0.000267,0.000242,0.694
1664,SB30904_island_1889,SB30904_component_1889a,J002058-030343,00:20:58.2,-03:03:43,5.242335,-3.061968,0.48,0.42,887.5,5.033,0.410,5.226,0.719,14.75,11.84,95.28,1.14,0.99,0.27,5.10,0.00,-69.21,4.66,0.00,16.52,4.363,318.545,-99.00,-99.00,0.00,0.00,0.423,0.0,0.0,1.0,0.0,,"5.242335,-3.061968",0.050396,5.033,5.068,0.410,0.406,RACS_0012+00A_island_1568,RACS_0012+00A_component_1568a,J002058-030342,00:20:58.1,-03:03:42,5.242232,-3.061840,0.03,0.02,887.5,6.028,1.028,7.190,0.051,26.01,17.47,99.64,0.10,0.11,0.36,9.79,6.03,77.66,0.91,2.61,2.70,0.097,40.142,-5.01,-99.00,0.01,0.00,0.998,0.0,0.0,1.0,0.0,,"5.242232,-3.06184",0.050779,6.028,6.189,1.028,0.013,0.000164,0.000103,-0.000128,0.835
