coord_id,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,coord,nn_separation,flux_peak_condon,flux_peak_selavy,flux_peak_err_condon,flux_peak_err_selavy,island_id_reference,component_id_reference,component_name_reference,ra_hms_cont_reference,dec_dms_cont_reference,ra_deg_cont_reference,dec_deg_cont_reference,ra_err_reference,dec_err_reference,freq_reference,flux_peak_reference,flux_peak_err_reference,flux_int_reference,flux_int_err_reference,maj_axis_reference,min_axis_reference,pos_ang_reference,maj_axis_err_reference,min_axis_err_reference,pos_ang_err_reference,maj_axis_deconv_reference,min_axis_deconv_reference,pos_ang_deconv_reference,maj_axis_deconv_err_reference,min_axis_deconv_err_reference,pos_ang_deconv_err_reference,chi_squared_fit_reference,rms_fit_gauss_reference,spectral_index_reference,spectral_curvature_reference,spectral_index_err_reference,spectral_curvature_err_reference,rms_image_reference,has_siblings_reference,fit_is_estimate_reference,spectral_index_from_TT_reference,flag_c4_reference,comment_reference,coord_reference,nn_separation_reference,flux_peak_condon_reference,flux_peak_selavy_reference,flux_peak_err_condon_reference,flux_peak_err_selavy_reference,separation,dra,ddec,flux_peak_ratio
1,SB30904_island_1,SB30904_component_1a,J000622-000424,00:06:22.6,-00:04:24,1.594179,-0.073564,0.00,0.00,887.5,5212.508,1.324,5714.618,2.174,14.34,12.95,72.61,0.00,0.00,0.00,5.09,2.24,16.55,0.02,0.12,0.15,21004.285,8803.782,-0.90,-99.00,0.00,0.00,1.326,0.0,0.0,1.0,1.0,,"1.594179,-0.073564",0.008425,5212.508,5212.509,1.324,1.179,RACS_0012+00A_island_1,RACS_0012+00A_component_1a,J000622-000424,00:06:22.6,-00:04:24,1.594128,-0.073442,0.01,0.01,887.5,5521.269,19.593,6031.106,17.953,24.99,17.10,103.30,0.03,0.04,0.14,5.85,5.74,-53.34,41.76,43.47,44.21,1125.621,1793.338,-0.73,-99.00,0.00,0.00,18.442,0.0,0.0,1.0,0.0,,"1.594128,-0.073442",0.013225,5521.269,5521.330,19.593,7.606,0.000132,0.000051,-0.000122,0.944
2,SB30904_island_2,SB30904_component_2a,J002225+001456,00:22:25.4,+00:14:56,5.606002,0.248970,0.00,0.00,887.5,3473.927,1.073,3590.185,1.859,14.23,12.30,83.74,0.00,0.00,0.00,2.58,2.20,73.32,1.57,2.20,0.86,9701.607,5677.258,-0.32,-99.00,0.00,0.00,1.094,0.0,0.0,1.0,1.0,,"5.606002,0.24897",0.012385,3473.927,3473.927,1.073,1.050,RACS_0012+00A_island_2,RACS_0012+00A_component_2a,J002225+001456,00:22:25.4,+00:14:56,5.605853,0.249075,0.03,0.02,887.5,4311.875,31.369,4581.407,26.175,26.21,15.86,99.87,0.07,0.07,0.20,10.05,0.00,89.91,0.30,0.00,0.82,718.394,1593.265,-0.19,-99.00,0.00,0.00,30.037,0.0,0.0,1.0,0.0,,"5.605853,0.249075",0.013966,4311.875,4312.084,31.369,11.252,0.000182,0.000149,-0.000105,0.806
3,SB30904_island_3,SB30904_component_3a,J002125-005540,00:21:25.4,-00:55:40,5.355843,-0.927854,0.00,0.00,887.5,1597.228,0.863,1652.083,1.492,14.23,12.31,82.90,0.01,0.01,0.00,2.67,2.14,54.72,1.82,2.89,2.52,6047.999,4217.610,-0.91,-99.00,0.00,0.00,0.879,0.0,0.0,1.0,1.0,,"5.355843,-0.927854",0.073768,1597.228,1597.228,0.863,0.842,RACS_0012+00A_island_3,RACS_0012+00A_component_3a,J002125-005540,00:21:25.4,-00:55:40,5.355690,-0.927800,0.02,0.01,887.5,1781.747,8.609,1899.895,7.799,25.88,16.12,100.86,0.05,0.05,0.16,9.06,0.00,-88.58,0.36,0.00,0.79,992.207,1749.962,-0.84,-99.00,0.00,0.00,8.206,0.0,0.0,1.0,0.0,,"5.35569,-0.9278",0.013802,1781.747,1781.785,8.609,3.350,0.000162,0.000153,-0.000054,0.896
9,SB30904_island_8,SB30904_component_8a,J001425-020555,00:14:25.6,-02:05:55,3.606464,-2.098786,0.00,0.00,887.5,595.598,0.413,629.189,0.701,14.32,12.50,83.61,0.01,0.01,0.00,3.17,2.96,15.00,3.18,3.70,5.13,1142.249,2315.744,-0.80,-99.00,0.00,0.00,0.418,0.0,0.0,1.0,0.0,,"3.606464,-2.098786",0.143462,595.598,595.598,0.413,0.390,RACS_0012+00A_island_8,RACS_0012+00A_component_8a,J001425-020555,00:14:25.5,-02:05:55,3.606321,-2.098708,0.01,0.01,887.5,655.392,2.333,681.704,1.768,25.12,16.20,101.99,0.03,0.03,0.11,6.50,1.29,-88.32,0.88,23.63,1.01,705.485,1477.892,-0.75,-99.00,0.00,0.00,2.212,0.0,0.0,1.0,0.0,,"3.606321,-2.098708",0.143388,655.392,655.399,2.333,0.771,0.000163,0.000143,-0.000078,0.909
12,SB30904_island_10,SB30904_component_10a,J000606+005400,00:06:06.0,+00:54:00,1.525123,0.900245,0.00,0.00,887.5,528.782,0.465,650.724,0.694,15.67,13.30,104.90,0.01,0.01,0.00,7.93,4.15,-52.06,0.01,0.07,0.18,2776.260,3408.248,-0.80,-99.00,0.00,0.00,0.455,0.0,0.0,1.0,1.0,,"1.525123,0.900245",0.085978,528.782,528.782,0.465,0.348,RACS_0012+00A_island_9,RACS_0012+00A_component_9a,J000606+005401,00:06:06.0,+00:54:01,1.525047,0.900445,0.02,0.01,887.5,610.418,2.584,682.928,2.163,26.05,16.80,104.93,0.04,0.04,0.13,9.48,4.62,-66.68,0.33,1.54,0.79,908.623,1618.181,-0.62,-99.00,0.00,0.00,2.452,0.0,0.0,1.0,0.0,,"1.525047,0.900445",0.085885,610.418,610.428,2.584,0.903,0.000214,0.000076,-0.000200,0.866
13,SB30904_island_11,SB30904_component_11a,J002336-025306,00:23:36.2,-02:53:06,5.901002,-2.885154,0.01,0.00,887.5,463.286,0.443,493.922,0.747,14.35,12.58,83.37,0.01,0.01,0.00,3.49,3.13,9.59,1.90,2.43,3.00,589.831,1696.238,-0.47,-99.00,0.00,0.00,0.448,0.0,0.0,1.0,0.0,,"5.901002,-2.885154",0.074019,463.286,463.286,0.443,0.413,RACS_0012+00A_island_10,RACS_0012+00A_component_10a,J002336-025306,00:23:36.2,-02:53:06,5.900856,-2.885120,0.02,0.01,887.5,553.904,3.373,593.840,2.518,26.03,16.11,99.93,0.05,0.05,0.16,9.59,0.00,88.35,0.29,0.00,0.73,631.750,1436.851,-0.20,-99.00,0.00,0.00,3.218,0.0,0.0,1.0,0.0,,"5.900856,-2.88512",0.074320,553.904,553.923,3.373,1.078,0.000150,0.000146,-0.000034,0.836
14,SB30904_island_12,SB30904_component_12a,J235801-021046,23:58:01.4,-02:10:46,359.505816,-2.179551,0.01,0.01,887.5,467.240,0.882,483.792,1.528,14.41,12.18,83.51,0.03,0.02,0.01,3.40,1.35,80.47,1.03,7.24,0.30,363.766,1527.035,-0.19,-99.00,0.00,0.00,0.900,0.0,0.0,1.0,0.0,,"359.505816,-2.179551",0.049443,467.240,467.242,0.882,0.862,RACS_0012+00A_island_12,RACS_0012+00A_component_12a,J235801-021046,23:58:01.4,-02:10:46,359.505652,-2.179528,0.01,0.01,887.5,411.004,1.693,427.607,0.836,24.90,16.35,103.24,0.02,0.03,0.08,5.43,2.83,-76.42,1.80,6.83,1.37,328.634,968.996,-0.78,-99.00,0.00,0.00,1.601,0.0,0.0,1.0,0.0,,"359.505652,-2.179528",0.095265,411.004,411.010,1.693,0.365,0.000165,0.000164,-0.000023,1.137
15,SB30904_island_13,SB30904_component_13a,J001847-023349,00:18:47.7,-02:33:49,4.698912,-2.563735,0.01,0.00,887.5,434.262,0.423,452.271,0.728,14.29,12.35,83.74,0.01,0.01,0.00,2.87,2.45,75.54,3.22,4.53,1.73,287.780,1237.233,-1.03,-99.00,0.00,0.00,0.430,0.0,0.0,1.0,0.0,,"4.698912,-2.563735",0.048941,434.262,434.262,0.423,0.409,RACS_0012+00A_island_11,RACS_0012+00A_component_11a,J001847-023349,00:18:47.7,-02:33:49,4.698741,-2.563686,0.01,0.01,887.5,449.876,1.676,474.877,1.091,25.17,16.41,102.10,0.03,0.03,0.10,6.65,2.95,-88.58,0.87,4.63,1.04,551.363,1271.574,-0.94,-99.00,0.00,0.00,1.587,0.0,0.0,1.0,0.0,,"4.698741,-2.563686",0.048941,449.876,449.882,1.676,0.472,0.000178,0.000171,-0.000049,0.965
16,SB30904_island_14,SB30904_component_14a,J001818-033643,00:18:18.1,-03:36:43,4.575522,-3.611966,0.01,0.01,887.5,370.974,0.900,410.588,1.468,14.53,12.90,85.10,0.03,0.03,0.01,4.49,3.88,-14.77,1.26,1.78,2.21,246.713,1226.518,-0.46,-99.00,0.00,0.00,0.900,0.0,0.0,1.0,0.0,,"4.575522,-3.611966",0.067727,370.974,370.976,0.900,0.791,RACS_0012+00A_island_14,RACS_0012+00A_component_14a,J001818-033642,00:18:18.1,-03:36:42,4.575298,-3.611944,0.02,0.01,887.5,382.477,2.635,421.294,1.494,25.40,16.96,102.51,0.04,0.05,0.16,7.45,5.28,-86.16,1.44,3.00,2.15,414.011,1103.485,-0.68,-99.00,0.00,0.00,2.488,0.0,0.0,1.0,0.0,,"4.575298,-3.611944",0.067980,382.477,382.493,2.635,0.629,0.000225,0.000224,-0.000022,0.970
17,SB30904_island_15,SB30904_component_15a,J000324-015654,00:03:24.4,-01:56:54,0.851540,-1.948361,0.01,0.01,887.5,327.894,0.331,348.032,0.561,14.31,12.57,82.26,0.01,0.01,0.01,3.49,2.84,17.71,1.13,1.78,2.65,568.341,1685.736,-0.59,-99.00,0.00,0.00,0.335,0.0,0.0,1.0,0.0,,"0.85154,-1.948361",0.081132,327.894,327.894,0.331,0.311,RACS_0012+00A_island_16,RACS_0012+00A_component_16a,J000324-015653,00:03:24.3,-01:56:53,0.851427,-1.948287,0.02,0.01,887.5,339.191,1.029,352.838,1.238,25.16,16.18,101.68,0.04,0.04,0.14,6.67,0.62,89.81,1.04,130.11,1.27,1892.054,2348.658,-0.61,-99.00,0.00,0.00,0.976,0.0,0.0,1.0,0.0,,"0.851427,-1.948287",0.081212,339.191,339.194,1.029,0.540,0.000135,0.000113,-0.000074,0.967
21,SB30904_island_20,SB30904_component_20a,J000355-032321,00:03:55.5,-03:23:21,0.981388,-3.389339,0.01,0.01,887.5,283.432,0.623,297.456,1.064,14.27,12.46,84.09,0.03,0.03,0.01,2.97,2.76,-5.02,12.78,14.90,0.94,166.875,1021.258,-1.10,-99.00,0.00,0.00,0.632,0.0,0.0,1.0,0.0,,"0.981388,-3.389339",0.011212,283.432,283.433,0.623,0.595,RACS_0012+00A_island_17,RACS_0012+00A_component_17a,J000355-032321,00:03:55.5,-03:23:21,0.981157,-3.389356,0.02,0.01,887.5,335.548,2.037,334.057,1.183,24.60,15.83,101.78,0.04,0.04,0.14,4.19,0.00,84.19,3.82,0.00,1.95,324.972,1124.492,-1.42,-99.00,0.00,0.00,1.933,0.0,0.0,1.0,0.0,,"0.981157,-3.389356",0.076768,335.548,335.559,2.037,0.528,0.000231,0.000231,0.000017,0.845
22,SB30904_island_21,SB30904_component_21a,J000001-002210,00:00:01.7,-00:22:10,0.006960,-0.369480,0.01,0.01,887.5,278.700,0.435,283.422,0.763,14.12,12.20,83.56,0.02,0.02,0.01,1.89,1.50,60.56,20.12,32.57,12.00,1013.246,2256.477,-0.41,-99.00,0.00,0.00,0.445,0.0,0.0,1.0,0.0,,"0.00696,-0.36948",0.090564,278.700,278.701,0.435,0.436,RACS_0012+00A_island_30,RACS_0012+00A_component_30a,J000001-002209,00:00:01.6,-00:22:09,0.006789,-0.369319,0.01,0.01,887.5,247.455,1.015,264.843,0.543,24.54,17.06,105.66,0.02,0.03,0.10,6.23,2.18,-12.28,0.85,7.31,1.16,394.478,1054.138,-0.45,-99.00,0.00,0.00,0.953,0.0,0.0,1.0,0.0,,"0.006789,-0.369319",0.103888,247.455,247.459,1.015,0.233,0.000235,0.000171,-0.000161,1.126
26,SB30904_island_26,SB30904_component_26a,J000611-014150,00:06:11.2,-01:41:50,1.546571,-1.697329,0.01,0.01,887.5,257.565,0.293,279.445,0.487,14.60,12.59,77.22,0.02,0.01,0.00,4.62,2.81,46.53,0.21,0.67,1.02,428.315,1445.455,-1.11,-99.00,0.00,0.00,0.295,0.0,0.0,1.0,0.0,,"1.546571,-1.697329",0.069249,257.565,257.565,0.293,0.266,RACS_0012+00A_island_23,RACS_0012+00A_component_23a,J000611-014150,00:06:11.2,-01:41:50,1.546461,-1.697254,0.02,0.02,887.5,287.046,1.674,303.698,1.447,25.64,16.14,100.56,0.06,0.06,0.18,8.42,0.00,88.25,0.54,0.00,1.07,853.923,1667.785,-0.78,-99.00,0.00,0.00,1.593,0.0,0.0,1.0,0.0,,"1.546461,-1.697254",0.141273,287.046,287.055,1.674,0.625,0.000133,0.000110,-0.000075,0.897
27,SB30904_island_27,SB30904_component_27a,J000311+035018,00:03:11.5,+03:50:18,0.798049,3.838411,0.03,0.02,887.5,258.488,1.180,281.830,1.951,14.61,12.64,78.03,0.06,0.05,0.02,4.61,3.10,45.90,1.01,2.51,4.88,585.693,1850.704,-0.94,-99.00,0.00,0.00,1.186,0.0,0.0,1.0,0.0,,"0.798049,3.838411",0.006866,258.488,258.493,1.180,1.063,RACS_0012+00A_island_18,RACS_0012+00A_component_18a,J000311+035019,00:03:11.5,+03:50:19,0.798095,3.838722,0.03,0.02,887.5,316.340,3.569,346.935,2.151,26.16,16.40,101.75,0.08,0.08,0.24,9.75,2.94,-83.91,0.48,5.95,1.18,370.836,1150.831,-3.41,-99.00,0.00,0.00,3.400,0.0,0.0,1.0,0.0,,"0.798095,3.838722",0.153223,316.340,316.377,3.569,0.906,0.000314,-0.000046,-0.000311,0.817
31,SB30904_island_33,SB30904_component_33a,J000031-025143,00:00:31.7,-02:51:43,0.131958,-2.861978,0.01,0.01,887.5,243.452,0.429,273.711,0.694,15.33,12.43,79.82,0.02,0.02,0.01,6.29,2.70,73.21,0.08,0.58,0.17,827.658,2092.640,-0.94,-99.00,0.00,0.00,0.430,0.0,0.0,1.0,0.0,,"0.131958,-2.861978",0.081798,243.452,243.453,0.429,0.370,RACS_0012+00A_island_28,RACS_0012+00A_component_28a,J000031-025143,00:00:31.6,-02:51:43,0.131783,-2.861962,0.01,0.00,887.5,257.994,0.644,268.344,0.365,24.86,16.37,101.17,0.02,0.02,0.06,5.78,1.66,75.86,0.76,9.64,0.81,449.428,1112.696,-1.84,-99.00,0.00,0.00,0.609,0.0,0.0,1.0,0.0,,"0.131783,-2.861962",0.081775,257.994,257.995,0.644,0.159,0.000176,0.000175,-0.000016,0.944
32,SB30904_island_34,SB30904_component_34a,J001546+020644,00:15:46.9,+02:06:44,3.945591,2.112386,0.01,0.01,887.5,226.709,0.336,258.243,0.533,14.31,13.49,83.51,0.02,0.02,0.01,5.96,2.95,-5.38,0.04,0.27,0.03,3221.901,3611.666,-0.67,-99.00,0.00,0.00,0.333,0.0,0.0,1.0,1.0,,"3.945591,2.112386",0.085691,226.709,226.709,0.336,0.282,RACS_0012+00A_island_27,RACS_0012+00A_component_27a,J001546+020645,00:15:46.9,+02:06:45,3.945532,2.112565,0.02,0.01,887.5,256.972,1.723,277.993,1.140,25.36,16.69,101.97,0.05,0.05,0.18,7.38,4.19,-89.53,1.24,4.07,1.86,502.291,1281.200,-0.48,-99.00,0.00,0.00,1.630,0.0,0.0,1.0,0.0,,"3.945532,2.112565",0.093888,256.972,256.982,1.723,0.485,0.000188,0.000059,-0.000179,0.882
33,SB30904_island_35,SB30904_component_35a,J002005-003457,00:20:05.2,-00:34:57,5.021606,-0.582531,0.01,0.01,887.5,221.467,0.369,231.550,0.633,14.45,12.25,84.78,0.02,0.02,0.01,3.60,1.92,88.37,0.85,3.25,0.32,543.926,1700.948,-0.88,-99.00,0.00,0.00,0.375,0.0,0.0,1.0,0.0,,"5.021606,-0.582531",0.029143,221.467,221.468,0.369,0.355,RACS_0012+00A_island_29,RACS_0012+00A_component_29a,J002005-003456,00:20:05.2,-00:34:56,5.021469,-0.582441,0.02,0.02,887.5,248.473,2.128,266.835,1.275,25.93,16.20,100.91,0.06,0.06,0.18,9.21,0.70,-88.34,0.41,79.25,0.93,395.513,1152.053,-0.69,-99.00,0.00,0.00,2.028,0.0,0.0,1.0,0.0,,"5.021469,-0.582441",0.139503,248.473,248.490,2.128,0.545,0.000164,0.000137,-0.000090,0.891
34,SB30904_island_36,SB30904_component_36a,J002539-031310,00:25:39.7,-03:13:10,6.415240,-3.219703,0.02,0.02,887.5,216.831,0.855,236.634,1.412,14.54,12.71,86.11,0.05,0.04,0.02,4.13,3.69,-51.29,3.81,4.96,15.52,386.533,1544.670,-0.74,-99.00,0.00,0.00,0.859,0.0,0.0,1.0,0.0,,"6.41524,-3.219703",0.037676,216.831,216.834,0.855,0.769,RACS_0012+00A_island_24,RACS_0012+00A_component_24a,J002539-031310,00:25:39.6,-03:13:10,6.415134,-3.219640,0.02,0.01,887.5,267.649,3.090,297.146,1.271,26.63,16.31,99.67,0.05,0.06,0.16,11.12,1.36,89.84,0.18,14.35,0.61,161.780,778.406,0.85,-99.00,0.00,0.00,2.955,0.0,0.0,1.0,0.0,,"6.415134,-3.21964",0.038247,267.649,267.682,3.090,0.531,0.000123,0.000106,-0.000063,0.810
37,SB30904_island_38,SB30904_component_38a,J001946+025808,00:19:46.5,+02:58:08,4.943869,2.969063,0.01,0.01,887.5,216.372,0.381,226.804,0.651,14.35,12.37,82.88,0.02,0.02,0.01,3.21,2.52,66.41,2.64,4.44,3.43,870.270,2123.481,-0.03,-99.00,0.00,0.00,0.387,0.0,0.0,1.0,0.0,,"4.943869,2.969063",0.042512,216.372,216.373,0.381,0.364,RACS_0012+00A_island_34,RACS_0012+00A_component_34a,J001946+025808,00:19:46.5,+02:58:08,4.943828,2.969165,0.01,0.01,887.5,222.229,1.167,228.135,0.419,24.59,16.33,102.92,0.02,0.02,0.08,3.81,2.68,88.96,9.81,20.10,3.99,155.142,704.032,-0.21,-99.00,0.00,0.00,1.102,0.0,0.0,1.0,0.0,,"4.943828,2.969165",0.055071,222.229,222.234,1.167,0.184,0.000110,0.000041,-0.000102,0.974
38,SB30904_island_39,SB30904_component_39a,J001035+011146,00:10:35.6,+01:11:46,2.648541,1.196127,0.01,0.01,887.5,210.017,0.312,219.687,0.535,14.27,12.42,83.50,0.02,0.02,0.01,2.87,2.67,30.69,9.79,11.43,18.25,1099.076,2240.226,-0.84,-99.00,0.00,0.00,0.317,0.0,0.0,1.0,0.0,,"2.648541,1.196127",0.016109,210.017,210.017,0.312,0.300,RACS_0012+00A_island_31,RACS_0012+00A_component_31a,J001035+011146,00:10:35.6,+01:11:46,2.648537,1.196301,0.02,0.02,887.5,228.204,1.535,237.665,1.127,25.36,16.07,101.32,0.05,0.06,0.19,7.42,0.00,-89.65,0.86,0.00,1.28,610.581,1421.898,-0.75,-99.00,0.00,0.00,1.459,0.0,0.0,1.0,0.0,,"2.648537,1.196301",0.046336,228.204,228.213,1.535,0.491,0.000174,0.000004,-0.000174,0.920
39,SB30904_island_41,SB30904_component_41a,J002215-032204,00:22:15.9,-03:22:04,5.566455,-3.367990,0.02,0.01,887.5,194.081,0.625,219.231,1.001,14.67,13.05,94.68,0.04,0.04,0.02,5.52,3.53,-38.19,0.25,0.77,2.41,270.903,1233.663,-0.69,-99.00,0.00,0.00,0.622,0.0,0.0,1.0,0.0,,"5.566455,-3.36799",0.091456,194.081,194.083,0.625,0.532,RACS_0012+00A_island_33,RACS_0012+00A_component_33a,J002215-032204,00:22:15.9,-03:22:04,5.566352,-3.368017,0.02,0.02,887.5,223.771,2.573,251.180,1.119,26.37,16.65,101.77,0.05,0.06,0.18,10.28,4.14,-83.67,0.31,2.17,0.85,195.098,828.833,-0.17,-99.00,0.00,0.00,2.450,0.0,0.0,1.0,0.0,,"5.566352,-3.368017",0.123948,223.771,223.798,2.573,0.465,0.000106,0.000103,0.000027,0.867
40,SB30904_island_42,SB30904_component_42a,J002125+014645,00:21:25.1,+01:46:45,5.354776,1.779169,0.01,0.01,887.5,194.737,0.301,205.943,0.511,14.25,12.57,85.18,0.02,0.02,0.01,3.42,2.65,-16.48,1.55,2.71,1.83,290.330,1242.702,-0.93,-99.00,0.00,0.00,0.305,0.0,0.0,1.0,0.0,,"5.354776,1.779169",0.034510,194.737,194.737,0.301,0.284,RACS_0012+00A_island_35,RACS_0012+00A_component_35a,J002125+014645,00:21:25.1,+01:46:45,5.354642,1.779278,0.02,0.01,887.5,215.402,1.309,223.352,0.763,25.21,16.09,101.93,0.04,0.04,0.14,6.80,0.00,-87.14,0.90,0.00,1.11,370.664,1130.554,-0.62,-99.00,0.00,0.00,1.243,0.0,0.0,1.0,0.0,,"5.354642,1.779278",0.104238,215.402,215.409,1.309,0.333,0.000173,0.000134,-0.000109,0.904
44,SB30904_island_46,SB30904_component_46a,J001128+010620,00:11:28.8,+01:06:20,2.869814,1.105769,0.01,0.01,887.5,173.237,0.314,220.970,0.453,15.02,14.38,167.23,0.02,0.02,0.02,8.89,3.33,-7.78,0.02,0.04,0.06,1371.448,2441.888,-0.78,-99.00,0.00,0.00,0.304,0.0,0.0,1.0,0.0,,"2.869814,1.105769",0.043330,173.237,173.238,0.314,0.221,RACS_0012+00A_island_41,RACS_0012+00A_component_41a,J001128+010621,00:11:28.8,+01:06:21,2.869832,1.105959,0.03,0.02,887.5,205.207,1.560,240.985,1.272,25.73,17.86,103.79,0.06,0.08,0.27,8.51,7.67,-61.73,3.63,4.57,7.48,820.823,1572.374,-0.65,-99.00,0.00,0.00,1.469,0.0,0.0,1.0,0.0,,"2.869832,1.105959",0.043301,205.207,205.218,1.560,0.515,0.000191,-0.000018,-0.000190,0.844
47,SB30904_island_49,SB30904_component_49a,J235725-015215,23:57:25.2,-01:52:15,359.354890,-1.870884,0.03,0.03,887.5,169.208,0.863,178.803,1.470,14.73,12.15,84.08,0.07,0.06,0.02,4.57,1.14,84.00,0.76,14.72,0.06,134.578,1033.478,0.20,-99.00,0.00,0.00,0.877,0.0,0.0,1.0,0.0,,"359.35489,-1.870884",0.031484,169.208,169.213,0.863,0.818,RACS_0012+00A_island_52,RACS_0012+00A_component_52a,J235725-015214,23:57:25.1,-01:52:14,359.354675,-1.870829,0.01,0.01,887.5,164.093,1.395,169.701,0.365,24.76,16.34,102.91,0.02,0.03,0.09,4.75,2.77,-84.11,3.69,11.13,2.20,71.124,508.561,-0.03,-99.00,0.00,0.00,1.319,0.0,0.0,1.0,0.0,,"359.354675,-1.870829",0.031712,164.093,164.104,1.395,0.159,0.000222,0.000215,-0.000055,1.031
48,SB30904_island_50,SB30904_component_50a,J000730-004815,00:07:30.6,-00:48:15,1.877508,-0.804207,0.01,0.01,887.5,161.939,0.404,213.747,0.567,15.70,14.24,93.61,0.03,0.02,0.01,7.85,6.73,-36.16,0.10,0.16,1.84,1334.109,2451.428,-0.86,-99.00,0.00,0.00,0.389,0.0,0.0,1.0,0.0,,"1.877508,-0.804207",0.054294,161.939,161.940,0.404,0.271,RACS_0012+00A_island_43,RACS_0012+00A_component_43a,J000730-004814,00:07:30.6,-00:48:14,1.877452,-0.804073,0.02,0.02,887.5,194.877,1.619,234.388,0.994,26.50,17.76,102.61,0.05,0.06,0.20,10.57,7.48,-81.05,0.48,1.04,1.40,448.663,1173.144,-0.67,-99.00,0.00,0.00,1.533,0.0,0.0,1.0,0.0,,"1.877452,-0.804073",0.054613,194.877,194.889,1.619,0.396,0.000145,0.000056,-0.000134,0.831
50,SB30904_island_52,SB30904_component_52a,J000031-015808,00:00:31.7,-01:58:08,0.131987,-1.969076,0.01,0.01,887.5,164.549,0.357,173.281,0.608,14.31,12.46,80.62,0.03,0.03,0.01,3.45,2.42,36.93,1.71,3.70,5.04,263.690,1295.977,-0.43,-99.00,0.00,0.00,0.362,0.0,0.0,1.0,0.0,,"0.131987,-1.969076",0.025741,164.549,164.550,0.357,0.339,RACS_0012+00A_island_56,RACS_0012+00A_component_56a,J000031-015808,00:00:31.6,-01:58:08,0.131857,-1.968977,0.01,0.01,887.5,155.641,0.550,162.999,0.412,24.98,16.40,102.68,0.03,0.03,0.11,5.84,3.05,-84.62,1.75,6.66,1.58,806.515,1470.455,-0.75,-99.00,0.00,0.00,0.520,0.0,0.0,1.0,0.0,,"0.131857,-1.968977",0.052775,155.641,155.643,0.550,0.179,0.000163,0.000130,-0.000099,1.057
52,SB30904_island_54,SB30904_component_54a,J001841+003615,00:18:41.0,+00:36:15,4.670782,0.604442,0.01,0.01,887.5,159.071,0.296,165.787,0.509,14.34,12.31,83.71,0.03,0.02,0.01,3.10,2.28,79.17,2.70,5.20,0.95,414.744,1571.214,-0.81,-99.00,0.00,0.00,0.301,0.0,0.0,1.0,0.0,,"4.670782,0.604442",0.033779,159.071,159.072,0.296,0.286,RACS_0012+00A_island_50,RACS_0012+00A_component_50a,J001841+003616,00:18:41.0,+00:36:16,4.670687,0.604557,0.02,0.02,887.5,172.455,1.704,183.569,0.864,25.74,16.18,100.47,0.06,0.06,0.18,8.74,0.00,88.47,0.47,0.00,1.00,256.656,971.384,-0.55,-99.00,0.00,0.00,1.622,0.0,0.0,1.0,0.0,,"4.670687,0.604557",0.033540,172.455,172.470,1.704,0.371,0.000149,0.000095,-0.000115,0.922
54,SB30904_island_56,SB30904_component_56a,J001503-003500,00:15:03.4,-00:35:00,3.764186,-0.583111,0.01,0.01,887.5,155.345,0.263,159.362,0.459,14.14,12.29,83.10,0.02,0.02,0.01,2.29,1.83,26.66,10.20,16.33,11.68,665.218,1886.085,-0.53,-99.00,0.00,0.00,0.269,0.0,0.0,1.0,0.0,,"3.764186,-0.583111",0.114352,155.345,155.345,0.263,0.260,RACS_0012+00A_island_53,RACS_0012+00A_component_53a,J001503-003458,00:15:03.4,-00:34:58,3.764100,-0.583039,0.01,0.01,887.5,161.669,0.795,171.172,0.414,25.31,16.37,102.13,0.03,0.03,0.10,7.15,2.76,-86.30,0.65,4.65,0.88,327.029,1014.098,-0.53,-99.00,0.00,0.00,0.754,0.0,0.0,1.0,0.0,,"3.7641,-0.583039",0.139669,161.669,161.673,0.795,0.179,0.000112,0.000086,-0.000072,0.961
58,SB30904_island_58,SB30904_component_58a,J002626-013847,00:26:26.8,-01:38:47,6.611865,-1.646571,0.02,0.02,887.5,149.482,0.579,157.798,0.984,14.35,12.46,85.08,0.05,0.05,0.02,3.22,2.90,-64.10,11.80,14.74,25.07,186.810,1104.979,-0.63,-99.00,0.00,0.00,0.587,0.0,0.0,1.0,0.0,,"6.611865,-1.646571",0.013801,149.482,149.484,0.579,0.548,RACS_0012+00A_island_51,RACS_0012+00A_component_51a,J002626-013847,00:26:26.8,-01:38:47,6.611706,-1.646472,0.02,0.01,887.5,170.326,1.810,185.188,0.703,26.17,16.25,101.60,0.05,0.05,0.14,9.77,1.93,-84.28,0.27,7.91,0.67,157.507,743.408,-0.37,-99.00,0.00,0.00,1.727,0.0,0.0,1.0,0.0,,"6.611706,-1.646472",0.013837,170.326,170.343,1.810,0.298,0.000187,0.000159,-0.000099,0.878
