Id	Name	RA	Dec	GL	GB	Mag burst	Mag qui	dis	flux_xray	period
47	XTEJ1652-453,	16:52:20.33	-45:20:39.99	340.5296446	-00.78676794	Ks>19			1.39E-08	
46	SwiftJ1539.2-6227,	15:39:11.96	-62:28:02.30	321.0186501	-05.64277055	uvw2=18.07±0.03	i’>19.8		6.47E-09	
45	SwiftJ1842.5-1124,	18:42:17.45	-11:25:03.90	021.7270436	-03.17903051	Ks=16.75±0.05	Ks∼19.25		9.85E-09	
44	SwiftJ174540.2-290005,	17:45:40.10	-29:00:06.40	359.9494702	-00.04315833	Ks>19.55			4.98E-12	
43	IGRJ17497-2821,	17:49:38.04	-28:21:17.50	000.9531046	-00.45275798	Ks=17.8±0.2			1.09E-09	
42	XTEJ1817-330,	18:17:43.53	-33:01:07.57	359.8172195	-07.99544288	g'=14.93±0.05	V>22.0	5.5±4.5	4.94E-08	
41	XTEJ1726-476,IGRJ17269-4737	17:26:49.28	-47:38:24.90	342.2032857	-06.92293655	Ks=18.05	Ks>17.9		3.53E-09	
40	XTEJ1818-245,	18:18:24.43	-24:32:17.96	007.4426994	-04.19145967	V=17.42±0.01	R>18.4	3.55±0.75	1.69E-08	
39	SwiftJ1753.5-0127,	17:53:28.29	-01:27:06.22	024.8976155	12.18607327	R∼15.85	V>21.0	∼6±2	5.64E-09	3.244±0.001
38	IGRJ17098-3628,	17:09:45.93	-36:27:57.30	349.5539129	02.07451626	V∼20.8		∼10.5	1.08E-09	
37	IGRJ17091-3624,SAXJ1709.1-3624	17:09:07.61	-36:24:25.70	349.5247361	02.21273739	I=18.66±0.03			5.96E-09	
36	XTEJ1720-318,V1228Sco	17:19:58.99	-31:45:01.11	354.6237198	03.10128253	Ks∼17.15		6.5±3.5	1.06E-08	
35	XTEJ1908+094,	19:08:53.08	+09:23:04.84	043.2633756	00.43407857	I>22	H∼20.08±0.04	6.5±3.5	3.77E-09	
34	SAXJ1711.6-3808,	17:11:37.10	-38:07:05.70	348.4406504	00.79880572		R>22.1		1.27E-09	
33	XTEJ1650-500,	16:50:00.98	-49:57:43.60	336.7182648	-03.42701092	I=16.1±0.1	i’>19.4	2.6±0.7	1.52E-08	7.69±0.02
32	XTEJ1118+480,KVUMa	11:18:10.79	+48:02:12.42	157.6611620	62.32056579	I=13.6±0.1	i’=19.0±0.2	1.72±0.1	4.99E-10	4.0784088±5E-07
31	XTEJ1859+226,V406Vul	18:58:41.58	+22:39:29.40	054.0460820	08.60760698	R∼15.2	R=22.54±0.07	12.5±1.5	3.35E-08	6.58±0.05
30	SAXJ1819.3-2525,V4641Sgr	18:19:21.58	-25:24:25.10	006.7740023	-04.78873545	V=8.8	V=13.96±0.02	6.2±0.7	2.76E-07	67.6152±0.0002
29	XTEJ2012+381,	20:12:37.71	+38:11:01.10	075.3883359	02.2470781	R=20.0±0.2	Ks=20.1±0.2		7.77E-09	
28	XTEJ1748-288,	17:48:05.06	-28:28:25.80	000.6755628	-00.22203244			≥8	1.61E-08	
27	XTEJ1550-564,V381Nor	15:50:58.70	-56:28:35.20	325.8824005	-01.82687035	V∼16.6	V=22.0±0.2	4.5±0.5	1.61E-07	37.0088±0.0001
26	XTEJ1755-324,	17:55:28.60	-32:28:39.00	358.0392155	-03.63136938				3.41E-09	
25	GRS1737-31,	17:40:09.00	-31:02:24.00	357.5877503	-00.0994064				6.00E-10	
24	GRS1739-278,V2606Oph	17:42:40.03	-27:44:52.70	000.6720951	01.17572417	J=17.2±0.1	J>20.1	7.25±1.25	7.20E-09	
23	XTEJ1856+053,	18:56:42.92	+05:18:34.30	038.2584339	01.24875005	Ks=18.28±0.05	Ks=20.1±0.3		7.46E-10	
22	GRS1730-312,KS1730-312	17:33:32.00	-31:12:16.00	356.6879350	01.00634388				1.14E-08	
21	GROJ1655-40,NSco1994,V1033Sco	16:54:00.14	-39:50:44.90	344.9818318	02.45604284	R=13.55	R=16.3±0.1	3.2±0.2	1.15E-07	62.926272±0.000096
20	GRS1716-249,NOph1993,V2293Oph	17:19:36.93	-25:01:03.43	000.1422746	06.99086431	V∼16.6	i’=21.39±0.05	2.4±0.4	1.97E-08	6.7±0.2
19	GRS1009-45,NVel1993,MMVel	10:13:36.34	-45:04:31.50	275.8784710	09.34597492	R<14.7	r=20.4±0.1	3.8±0.3	5.10E-08	6.8449±0.0003
18	GRS1915+105,V1487Aql	19:15:11.55	+10:56:44.80	045.3657052	-00.21897507	H=13.09	I∼23.7±0.4	9.4±0.8	9.29E-08	812±4
17	GROJ0422+32,V518Per	04:21:42.79	+32:54:27.10	165.8808146	-11.91243707	R=12.65	R=21.0±0.1	2.49±0.3	5.77E-08	5.091850±0.000005
16	GRS1124-684,NMus1991,GUMus	11:26:26.65	-68:40:32.83	295.3006588	-07.07263349	V∼13.5	i'=19.92±0.04	4.95+0.69-0.65	1.36E-07	10.38252±2E-05
